year,contaminant_level,ph,turbidity,dissolved_oxygen,nitrate,lead,bacteria_count,clean_water_access,infant_mortality_rate,gdp_per_capita,healthcare_access,urbanization,sanitation_coverage,rainfall,temperature,population_density,country_Brazil,country_China,country_Ethiopia,country_India,country_Indonesia,country_Mexico,country_Nigeria,country_Pakistan,country_USA,region_East,region_North,region_South,region_West,water_source_type_Pond,water_source_type_River,water_source_type_Spring,water_source_type_Tap,water_source_type_Well,water_treatment_method_Chlorination,water_treatment_method_Filtration,water_treatment_method_None
2024,2.19,6.81,2.3,8.53,15.93,3.16,295,93.7,12.29,12400,65.14,58.67,88.21,925,13.27,133,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2017,2.04,6.75,3.02,8.06,12.68,6.9,623,99.7,20.03,10418,69.54,86.17,88.08,597,19.24,49,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2004,2.07,6.62,1.43,6.21,16.05,3.33,208,66.13,78.29,2678,43.09,52.99,51.82,1193,30.03,328,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
2022,1.76,7.14,1.73,8.42,9.37,3.11,252,90.79,22.16,10351,74.44,78.71,91.78,608,20.11,57,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2019,2.84,6.65,4.91,7.16,21.42,6.59,724,74.45,37.04,2795,52.08,23.23,77.55,1308,24.71,433,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018,2.65,7.21,4.62,6.84,16.99,8.08,658,60.21,80.74,2024,50.1,52.2,40.61,1117,26.47,247,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
2003,2.65,7.26,3.81,7.7,20.41,6.64,595,84.69,27.09,5494,76.71,64.31,77.7,1709,27.64,175,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2000,0.53,7.25,1.3,8.69,8.23,0.27,20,96.86,14.54,10485,76.52,88.12,84.1,865,17.62,57,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2008,2.32,7.18,2.56,6.38,18.63,3.67,314,92.19,11.15,12640,74.24,62.24,89.02,836,18.7,148,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2001,3.45,6.34,6.57,6.44,29.66,7.65,2256,67.5,33.5,3786,64.06,55.83,68.64,2272,23.71,200,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2022,2.87,7.18,3.08,6.85,20.12,6.71,630,63.59,70.06,2463,49.27,60.79,50.31,1325,24.07,176,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2003,3.09,7.55,6.4,5.32,20.29,10.92,1495,63.32,74.35,2553,46.82,58.05,50.44,1065,24.96,267,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2021,3.44,6.75,6.14,7.74,19.5,10.4,563,89.84,17.74,13675,85.19,71.08,92.32,1174,11.36,188,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2009,1.98,7.36,3.3,6.54,13.64,7.97,418,66.74,60.75,1703,46.43,29.28,55.47,430,22.66,194,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
2010,3.42,6.4,2.81,5.23,27.61,8.63,515,76.25,28.71,4505,59.04,58.07,73.85,2429,26.98,182,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2012,1.4,6.78,0.89,7.63,9.23,2.46,95,95.75,23.11,8055,77.74,89.4,74.5,1904,20.05,16,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2007,3.18,7.29,1.25,7.72,19.68,5.09,305,98.76,18.58,10041,74.18,91.44,77.1,2014,24.3,26,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
2010,2.21,7.68,3.31,7.87,15.62,6.03,341,43.63,60.62,1290,51.7,24.62,46.34,649,17.93,110,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
2006,0.95,6.68,2.08,7.09,12.99,2.08,70,74.42,38.83,2281,55.37,33.46,70.42,966,22.12,502,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2009,0.79,8.02,0.51,7.85,15.16,0.3,16,69.61,68.12,1770,51.09,43.45,68.66,459,24.3,305,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
2006,3.0,6.06,4.67,7.42,24.2,6.47,1083,99.7,16.87,12203,78.08,72.29,87.75,1156,13.34,145,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
2010,2.5,6.64,5.15,5.55,20.09,7.58,525,84.1,39.4,4460,52.63,48.95,73.37,1569,26.46,225,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
2018,2.13,6.67,2.37,6.8,20.83,7.59,193,70.19,41.23,2512,59.67,43.74,75.5,1453,24.74,590,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2022,1.7,6.97,3.24,7.73,16.85,4.09,330,84.01,13.83,13241,85.71,62.27,87.15,1179,12.31,155,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2011,0.77,6.85,0.3,7.93,8.48,0.24,11,99.7,15.13,13411,82.36,62.1,95.46,902,16.14,161,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2002,1.9,7.59,1.37,8.78,16.91,2.83,65,75.74,28.96,4349,54.44,58.59,66.5,2198,24.82,155,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2011,1.91,6.37,4.77,6.27,19.83,3.17,279,70.06,39.78,2965,59.59,48.95,78.81,1747,24.92,1700,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2017,2.24,6.82,5.49,6.72,17.45,5.63,871,87.56,17.33,10342,67.47,87.33,83.92,1618,24.33,33,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2015,1.73,7.08,3.5,8.63,14.38,4.69,151,95.05,9.83,52023,92.4,82.0,99.5,711,11.02,39,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
2001,2.98,7.29,4.68,6.14,23.53,6.04,479,78.29,39.27,2140,53.59,31.39,69.66,1105,23.34,541,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2002,2.01,7.37,1.27,7.07,17.37,5.86,76,76.06,38.05,2890,65.63,33.08,69.99,1123,27.99,464,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
2019,0.34,7.53,0.43,7.59,6.54,0.88,3,69.39,67.29,1867,55.12,36.7,70.6,545,23.12,175,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
2015,2.61,7.13,5.23,6.84,19.34,3.98,483,75.57,37.46,2572,59.33,30.64,76.77,1338,26.39,302,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2002,0.8,7.6,0.15,8.86,12.15,1.28,68,90.66,23.85,8919,73.96,80.0,95.78,800,18.86,68,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2022,3.38,7.58,7.03,4.67,22.55,8.32,1055,73.08,35.79,4559,54.05,51.23,76.44,1672,24.76,114,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2009,2.83,6.87,3.1,6.68,19.12,4.06,265,93.09,15.8,13088,74.74,62.99,97.27,837,14.82,95,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2005,2.99,6.76,5.28,6.39,25.85,8.43,537,70.6,41.13,2772,49.63,35.79,71.32,2052,22.62,1700,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2008,3.0,6.35,4.3,6.67,24.8,8.21,607,78.97,35.33,2627,60.87,37.45,70.37,1381,24.28,518,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2004,2.8,6.82,4.35,7.0,23.57,5.74,507,83.93,26.59,4730,59.06,68.4,70.09,2488,23.87,107,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2019,1.32,7.56,1.47,8.14,9.3,0.05,107,93.71,4.66,14694,84.67,65.41,85.86,900,9.37,105,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2014,2.75,7.67,2.82,8.06,17.87,7.78,510,59.59,61.74,1495,46.9,25.87,46.19,1228,16.62,177,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
2022,1.66,7.05,1.81,8.1,14.59,7.29,189,73.19,68.85,1638,53.46,40.03,70.24,593,28.63,311,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False
2002,1.83,7.18,1.41,8.52,21.54,2.81,105,79.92,30.47,4683,69.82,58.28,74.23,2174,28.61,158,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2006,0.41,6.76,0.23,10.0,5.97,2.93,4,87.94,14.18,48253,88.66,79.18,92.92,971,13.79,42,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2022,2.94,7.23,4.48,6.87,25.39,5.82,391,74.7,39.91,2714,60.2,43.82,66.34,2150,25.3,1343,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2004,0.49,7.47,0.77,8.18,9.36,1.04,3,69.08,65.92,1522,39.09,34.9,66.2,422,21.81,230,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
2011,1.9,6.97,3.13,8.48,18.37,4.18,178,58.45,60.56,1277,33.91,21.51,40.91,879,18.7,135,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2018,1.73,6.7,0.15,8.65,22.88,0.66,5,71.0,39.72,3098,57.42,42.75,80.23,2914,26.37,974,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
2009,0.92,7.72,1.61,7.79,17.19,1.95,28,55.89,71.43,2325,48.07,53.2,54.21,1719,25.94,184,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2007,0.77,6.44,0.15,9.52,12.45,2.44,3,96.34,17.56,8972,65.81,91.08,86.52,1677,23.61,25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2007,1.9,6.93,1.18,6.5,23.27,4.86,167,75.36,29.13,4240,59.26,56.18,73.98,3122,29.39,164,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
2009,0.59,6.69,1.42,9.99,9.69,2.01,3,95.59,7.98,12785,79.65,66.9,81.86,1057,11.62,128,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2004,2.16,7.17,1.84,8.14,9.97,4.79,323,96.31,10.9,51562,88.95,85.82,92.44,969,11.74,25,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2003,2.46,6.97,2.09,7.64,15.1,8.78,175,69.22,66.69,1655,54.45,35.45,71.01,531,24.75,548,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
2020,1.06,6.51,1.53,8.78,13.07,1.74,36,89.84,10.52,47473,88.68,82.06,95.24,767,11.23,53,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
2005,3.52,6.92,7.16,6.77,22.59,10.77,1161,72.79,44.36,2579,52.55,40.06,67.39,1038,28.43,645,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2012,1.52,7.62,2.13,7.87,19.32,2.69,93,72.62,25.69,4505,57.68,62.25,70.76,2418,26.27,112,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
2007,0.63,6.08,1.15,7.58,10.54,3.46,39,73.02,66.48,1932,49.66,31.83,60.15,410,27.35,291,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
2023,2.13,6.92,3.71,6.76,21.09,5.03,334,63.28,74.01,2639,51.43,60.79,56.79,1196,22.34,352,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2001,1.12,6.74,1.83,8.39,14.02,2.98,97,50.49,63.61,978,35.45,23.86,38.14,1130,11.79,128,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
2024,1.95,7.14,1.61,8.13,20.64,2.08,98,82.77,27.96,5039,70.74,55.5,69.63,2694,27.61,104,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2001,0.78,7.6,1.71,9.08,13.11,2.99,84,90.34,9.32,11805,79.49,66.79,83.01,1268,11.98,179,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2001,2.0,7.56,3.23,6.83,19.49,2.74,395,60.25,76.59,1973,48.51,54.17,47.73,1066,31.21,274,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2004,2.89,7.45,4.72,6.34,24.07,7.1,783,71.42,38.12,2593,55.01,39.6,66.07,1564,22.79,1321,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
2009,2.33,6.83,0.44,7.69,15.24,5.84,197,52.86,62.42,1284,41.45,29.77,39.45,1080,22.52,142,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
2004,0.35,6.94,1.32,9.05,5.74,0.66,3,88.03,5.74,52156,88.15,78.04,86.58,720,11.35,26,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2000,2.38,6.65,2.57,8.02,15.78,5.24,319,89.52,6.62,12152,74.7,69.18,89.45,737,14.31,162,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2015,2.23,7.49,2.12,7.01,18.36,5.58,231,69.25,65.52,1884,56.79,38.93,68.43,406,26.3,305,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
2001,0.85,7.46,0.84,8.14,10.7,2.95,3,99.7,9.27,11370,76.67,79.47,91.27,1199,23.78,80,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
2006,1.87,7.39,3.56,7.55,15.73,5.61,153,52.79,67.76,1087,41.96,25.69,38.11,1261,15.6,116,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013,1.67,6.21,4.82,5.78,19.09,5.57,320,73.01,28.33,2730,64.75,37.86,74.89,865,27.95,337,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2005,0.49,6.74,0.15,7.73,9.33,3.17,3,86.72,13.78,9387,80.66,77.34,85.91,1570,25.69,31,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
2021,0.97,7.08,0.27,7.83,20.06,3.0,9,79.89,27.44,4637,66.1,55.97,78.21,2620,24.09,147,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2003,2.08,6.52,5.88,5.92,19.06,3.68,1334,75.49,40.51,4324,60.77,53.13,72.84,1933,21.67,144,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2016,1.33,7.16,1.54,7.11,14.98,3.78,227,97.57,11.04,10601,71.43,80.42,95.94,733,20.22,68,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2020,1.25,7.31,0.15,8.59,11.42,5.62,140,70.71,65.22,1767,52.2,39.59,76.23,422,22.54,279,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
2017,3.25,6.9,4.91,6.5,22.62,5.82,749,85.95,20.68,9234,81.12,85.73,78.99,1751,24.64,29,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
2016,0.47,7.6,0.15,9.27,10.58,1.45,3,49.78,58.56,1285,56.62,23.96,41.94,581,17.76,115,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
2009,2.89,6.86,5.1,6.92,17.76,10.95,665,48.0,64.78,1108,38.83,17.88,39.48,812,15.6,145,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2014,2.75,6.99,3.7,7.02,21.55,5.51,238,90.97,20.17,8677,67.12,93.46,79.94,1376,26.14,26,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
2019,2.07,6.75,4.62,5.9,20.2,9.57,237,60.88,77.52,2103,43.46,56.1,49.07,1229,30.33,257,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2005,0.09,7.01,0.43,9.86,7.41,0.05,3,96.22,7.24,41784,86.39,75.82,92.9,1094,8.42,40,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
2011,0.63,6.79,0.99,8.2,9.28,4.07,3,85.81,11.86,13160,80.98,68.39,86.97,1104,16.63,124,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2009,2.39,7.31,3.48,7.62,11.74,7.06,331,54.22,63.16,1230,50.91,28.04,35.59,1068,17.0,116,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
2017,4.2,6.76,8.16,4.83,24.71,9.64,2084,63.78,74.65,2254,55.19,55.2,45.97,1565,27.32,246,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2022,0.76,7.01,0.72,7.44,14.6,3.49,10,93.45,24.35,8447,62.36,86.08,76.93,1885,24.29,32,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2013,1.75,7.3,1.55,7.32,14.51,4.8,163,68.96,37.85,2783,65.49,41.65,79.28,969,22.66,403,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2006,1.65,6.98,3.17,6.39,15.8,4.21,474,96.35,11.04,45561,77.4,86.59,95.28,930,16.09,38,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
2005,2.75,7.03,6.32,5.65,28.6,5.56,843,78.53,34.08,4647,61.39,55.5,66.55,2712,27.29,182,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2001,1.35,6.71,1.61,6.54,12.49,6.39,239,63.54,73.96,2435,50.93,55.51,51.63,924,28.36,210,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022,2.17,6.8,2.91,6.95,13.67,5.65,455,94.88,10.22,12551,77.02,62.69,83.87,992,17.8,157,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2017,4.25,6.3,7.9,4.49,24.06,9.39,1440,60.11,78.17,2171,43.66,52.74,38.11,868,28.56,254,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2009,2.27,6.71,3.75,7.47,19.68,6.18,440,76.77,37.88,2806,57.96,43.82,75.77,1217,27.71,429,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
