country,region,year,water_source_type,contaminant_level,ph,turbidity,dissolved_oxygen,nitrate,lead,bacteria_count,water_treatment_method,clean_water_access,diarrheal_cases,cholera_cases,typhoid_cases,infant_mortality_rate,gdp_per_capita,healthcare_access,urbanization,sanitation_coverage,rainfall,temperature,population_density,total_disease_cases,risk_level
China,South,2023,Lake,1.16,7.06,1.41,8.41,13.21,0.93,122,Boiling,91.43,51,1,4,10.23,12366,76.83,52.99,93.58,984,16.69,136,56,Low
Bangladesh,East,2022,Tap,1.96,7.31,0.98,8.17,21.56,4.52,63,Boiling,79.21,65,0,1,32.86,2938,65.86,47.54,70.9,1998,26.68,1009,66,Medium
Nigeria,East,2018,River,2.49,6.34,3.85,6.13,18.53,6.81,466,Chlorination,57.07,170,6,13,79.57,2311,48.48,57.32,50.69,1257,28.21,329,189,High
India,West,2024,Pond,3.76,7.03,9.78,4.47,20.33,10.56,2164,None,85.26,167,17,27,30.21,3187,63.75,34.52,78.21,759,27.04,385,211,High
Indonesia,West,2011,Well,2.55,7.58,4.41,6.3,21.76,7.84,633,None,76.13,158,5,16,37.47,4560,69.05,57.23,77.08,2239,26.89,238,179,High
Bangladesh,North,2001,Pond,2.77,6.65,4.32,5.59,28.59,10.96,726,Filtration,69.45,201,9,13,36.59,2420,56.38,43.28,66.49,1723,24.62,1462,223,High
India,East,2002,River,3.26,6.81,5.7,5.93,25.64,7.08,1032,None,73.93,162,6,13,42.05,2541,53.9,43.33,83.54,998,25.96,452,181,High
Nigeria,South,2017,River,3.2,6.86,4.22,6.2,20.33,7.89,661,Boiling,67.87,184,4,19,81.36,2201,44.07,55.75,48.35,1479,27.69,277,207,High
USA,East,2000,River,1.6,7.6,1.41,7.65,8.54,2.8,146,Boiling,99.7,28,0,3,6.14,55878,85.05,83.01,98.44,647,13.48,31,31,Low
Ethiopia,North,2019,Lake,2.88,6.84,3.33,6.81,16.85,7.49,681,Filtration,59.27,127,9,17,62.04,1276,48.5,31.6,38.94,923,14.06,161,153,High
Bangladesh,West,2020,Spring,1.54,7.4,1.93,7.32,18.38,4.94,146,Boiling,70.2,82,2,10,35.89,2986,58.55,40.79,70.33,1716,25.44,1166,94,Medium
Pakistan,West,2005,Tap,0.65,6.75,0.15,8.37,14.16,0.15,12,Chlorination,66.93,19,1,2,63.7,1658,54.48,40.38,60.22,503,29.01,309,22,Low
USA,North,2004,Lake,0.8,7.75,0.15,9.46,9.82,2.58,33,Filtration,99.7,21,0,2,12.79,50356,86.61,85.08,99.5,888,10.55,35,23,Low
Ethiopia,South,2000,Lake,1.64,7.64,2.27,8.0,14.37,5.87,89,Filtration,58.1,68,1,5,62.95,1140,30.89,25.68,39.89,761,18.21,110,74,Medium
China,West,2018,Spring,2.56,7.24,2.79,7.14,20.15,4.37,291,None,93.85,77,4,3,12.09,12857,75.32,63.84,87.31,1049,13.76,141,84,Medium
Mexico,Central,2000,Lake,2.9,7.48,4.44,6.76,15.07,6.03,510,None,80.24,130,1,20,18.38,9348,70.99,85.51,90.1,600,22.2,74,151,High
Brazil,West,2020,River,1.87,7.57,2.68,7.62,17.79,5.16,355,Chlorination,86.49,89,5,6,20.78,8353,72.53,84.84,74.52,1765,24.13,27,100,Medium
Pakistan,Central,2020,River,1.53,6.88,2.52,7.65,16.23,3.49,496,Chlorination,69.83,95,1,11,66.24,1684,52.31,30.99,66.79,576,24.16,399,107,Medium
China,North,2015,Pond,2.69,6.14,5.38,5.86,18.33,4.2,707,None,95.16,89,6,12,13.32,13981,76.82,72.56,99.5,795,15.79,203,107,Medium
Nigeria,North,2011,Well,2.31,6.93,3.36,5.63,18.37,6.44,687,None,60.44,195,8,25,80.21,2031,45.41,54.92,47.62,1027,29.94,191,228,High
China,West,2021,Lake,1.16,6.95,0.15,8.55,15.26,3.09,82,Chlorination,90.1,43,2,4,11.56,13536,65.3,69.22,92.53,1107,15.18,130,49,Low
Mexico,East,2007,Well,1.84,6.98,1.91,7.07,12.32,4.82,254,None,99.7,65,2,4,14.28,11419,79.52,87.01,86.56,637,25.28,112,71,Medium
Nigeria,Central,2015,Tap,0.75,6.42,1.27,7.77,11.13,4.7,39,Filtration,63.76,35,3,1,74.78,2243,29.78,54.94,41.52,985,28.83,149,39,Low
Pakistan,South,2000,River,2.54,6.73,2.72,7.54,16.07,6.47,515,Chlorination,65.42,119,3,10,66.5,1580,42.66,42.67,65.17,502,22.06,317,132,High
Mexico,West,2003,Pond,2.67,6.59,7.28,6.24,14.99,7.44,970,None,99.7,133,10,17,18.1,11385,68.54,79.94,90.76,594,21.89,50,160,High
India,South,2009,Tap,0.52,7.26,0.63,7.96,14.03,0.89,16,Boiling,72.18,22,0,2,35.66,2832,57.77,41.9,79.35,1348,25.91,348,24,Low
Brazil,West,2010,Pond,2.84,6.77,4.14,6.22,22.88,4.95,598,Boiling,92.76,86,2,6,17.15,9485,67.7,81.81,78.45,1751,24.07,38,94,Medium
Pakistan,East,2016,Spring,1.82,7.33,2.35,7.82,11.53,6.51,185,Chlorination,68.0,108,1,4,68.11,1667,49.57,38.98,70.91,555,23.7,322,113,Medium
India,East,2024,River,1.84,7.67,3.38,7.05,18.23,4.25,358,Boiling,80.77,113,4,6,31.6,2783,68.62,43.32,77.84,1020,24.34,260,123,Medium
Ethiopia,East,2022,Tap,1.29,7.09,1.76,7.87,14.54,3.81,113,Boiling,49.5,84,0,8,68.85,1111,42.86,24.93,35.72,822,18.01,113,92,Medium
Pakistan,East,2006,Spring,1.48,7.79,1.24,8.13,9.64,2.37,18,Filtration,63.4,25,2,1,64.94,1672,57.68,32.65,68.6,474,23.48,210,28,Low
Ethiopia,North,2011,Tap,0.58,7.44,1.95,8.59,9.98,3.38,3,Chlorination,52.05,27,0,3,54.8,1157,39.92,17.38,46.95,802,16.06,102,30,Low
Nigeria,North,2020,Pond,3.39,7.39,5.78,5.32,25.88,8.76,695,Boiling,58.03,263,17,27,75.2,1998,48.88,54.77,44.04,1557,25.33,266,307,High
India,Central,2006,Spring,1.99,6.79,2.87,7.1,19.73,5.09,320,None,73.54,100,8,10,32.48,2906,64.3,36.7,69.59,1186,19.34,472,118,Medium
Brazil,South,2011,Spring,1.13,7.29,0.86,7.48,12.29,2.9,29,Chlorination,89.05,47,0,0,20.63,9756,65.19,91.29,83.88,1208,23.01,27,47,Low
Mexico,West,2014,River,0.9,7.38,0.89,7.42,9.82,1.99,83,Chlorination,90.78,30,0,1,21.1,10122,66.87,81.83,83.5,830,20.85,43,31,Low
Indonesia,West,2001,Well,1.98,7.37,1.31,6.79,22.76,5.11,164,Boiling,74.54,51,3,7,25.84,4397,68.08,49.23,82.28,1790,27.78,208,61,Medium
China,North,2013,Pond,3.08,7.37,4.06,6.88,17.35,7.91,532,Boiling,93.28,140,6,13,12.33,10810,67.6,62.62,89.22,978,14.93,106,159,High
USA,West,2012,Pond,1.95,6.27,1.39,7.09,12.37,1.81,231,Filtration,91.37,56,3,11,13.56,49967,87.7,82.48,88.73,574,12.18,31,70,Medium
Brazil,North,2003,Spring,2.79,6.98,3.99,5.98,21.54,4.85,654,None,84.23,87,1,12,18.85,7038,77.9,89.4,81.27,1832,26.25,26,100,Medium
India,Central,2013,Spring,1.88,7.79,2.08,6.83,15.3,3.02,195,Filtration,75.42,82,2,8,34.9,2631,59.24,36.1,70.92,1243,28.38,361,92,Medium
Indonesia,South,2013,River,2.04,7.49,2.94,6.69,25.5,2.92,566,Filtration,78.87,127,5,7,23.12,5144,72.67,55.28,77.99,2518,24.93,231,139,High
Brazil,Central,2015,Well,2.27,7.0,4.34,5.35,20.22,6.53,446,None,87.77,99,6,12,20.64,8743,67.21,88.6,74.34,1550,20.75,31,117,Medium
India,East,2006,Pond,3.46,7.26,5.39,6.37,22.83,10.31,812,Boiling,76.11,204,11,31,43.69,2664,60.84,36.46,74.37,800,25.54,448,246,High
Bangladesh,East,2018,Lake,1.99,7.3,1.67,7.1,21.57,4.5,253,Filtration,68.78,121,7,11,35.55,2936,58.11,39.25,71.49,2847,25.94,1700,139,High
Bangladesh,East,2001,Lake,1.63,6.82,2.69,8.02,21.6,3.64,326,Chlorination,66.7,77,4,6,37.7,2465,50.55,39.54,69.94,1666,24.24,1234,87,Medium
Ethiopia,Central,2009,Well,1.54,7.41,0.52,8.17,17.19,3.75,131,Filtration,48.52,77,3,6,68.15,1172,41.76,24.68,38.15,1058,19.44,159,86,Medium
Brazil,West,2017,Tap,1.86,7.17,1.21,8.59,14.32,2.94,69,None,85.63,48,1,4,17.83,8279,80.63,81.52,78.14,1600,27.27,21,53,Low
Bangladesh,South,2016,River,2.42,7.03,4.04,6.52,22.27,6.45,338,Filtration,75.95,157,2,8,31.74,2846,57.58,48.51,65.8,2207,29.43,910,167,High
India,East,2004,Well,1.42,7.11,1.92,6.9,17.29,4.56,166,Filtration,77.06,67,4,9,36.36,2475,47.47,38.16,69.89,1163,22.92,444,80,Medium
Ethiopia,East,2011,Lake,2.19,6.83,1.5,7.84,17.48,4.98,190,Chlorination,57.36,97,6,9,62.62,1044,43.32,29.42,41.36,773,19.88,199,112,Medium
India,East,2005,Spring,2.21,6.42,1.19,6.66,17.05,6.36,350,None,76.19,101,3,3,31.8,2522,59.11,40.65,66.13,1028,24.1,427,107,Medium
Ethiopia,South,2021,Lake,1.97,7.02,2.24,8.12,13.03,4.61,195,Chlorination,53.86,93,2,6,65.69,1149,48.52,32.64,38.83,938,19.79,87,101,Medium
Brazil,East,2008,Spring,0.58,7.29,1.55,8.27,11.27,3.42,27,Boiling,87.18,22,0,0,15.15,9680,73.39,86.77,89.5,1497,21.9,26,22,Low
Indonesia,South,2019,River,3.32,6.58,7.94,5.14,28.55,7.63,955,None,80.06,158,2,14,36.28,4373,68.29,55.44,76.31,3072,26.43,157,174,High
Mexico,East,2000,Spring,0.38,7.2,0.59,8.56,4.32,0.51,18,Filtration,93.38,6,0,1,16.43,10574,70.81,78.29,96.39,665,21.18,70,7,Low
Pakistan,Central,2021,Well,1.41,7.14,0.83,7.41,10.69,2.61,236,Chlorination,65.89,56,2,10,66.52,1597,54.15,35.07,63.81,514,20.88,305,68,Medium
Indonesia,Central,2014,Spring,1.58,6.87,2.01,8.47,20.45,5.09,111,Chlorination,75.9,67,3,4,27.45,4637,61.06,51.54,72.61,2546,25.95,151,74,Medium
Nigeria,South,2020,Tap,1.78,7.36,3.31,6.33,15.41,6.58,176,None,66.19,99,2,17,78.62,2359,41.99,54.2,54.69,1350,27.39,226,118,Medium
India,Central,2005,Well,1.47,6.79,0.28,8.98,13.65,1.96,26,Chlorination,73.1,46,2,3,34.57,2550,58.57,41.67,80.5,835,19.77,359,51,Low
Nigeria,South,2018,River,3.38,7.77,3.69,5.65,19.25,7.34,1060,None,69.46,173,3,15,82.17,2587,53.64,51.68,57.73,1016,23.39,132,191,High
Indonesia,Central,2017,Well,2.13,7.51,4.79,6.59,21.68,6.31,394,Boiling,77.46,107,1,13,25.84,5256,70.18,58.87,74.75,2871,27.22,170,121,Medium
Ethiopia,Central,2005,Tap,1.62,7.75,1.64,7.73,15.22,4.92,180,None,53.05,94,0,10,64.22,1173,49.83,29.39,40.38,995,16.49,161,104,Medium
Pakistan,South,2012,River,3.58,6.85,6.27,6.8,24.09,7.47,846,None,63.98,159,12,27,69.29,1505,42.83,41.26,64.79,510,25.73,326,198,High
Pakistan,West,2000,Lake,2.02,7.17,3.93,6.46,14.66,6.49,243,Boiling,62.27,87,2,14,73.64,1456,45.95,40.76,64.14,525,24.27,310,103,Medium
USA,Central,2022,Tap,0.59,7.02,0.28,8.8,7.31,0.52,3,Boiling,92.38,7,0,2,10.29,48996,83.63,85.82,90.52,767,15.44,47,9,Low
Pakistan,East,2022,River,1.64,6.47,2.15,8.07,16.74,4.84,122,Filtration,71.57,57,1,8,64.65,1761,52.47,45.22,67.77,370,22.64,262,66,Medium
Mexico,West,2012,Spring,0.56,7.52,0.15,8.1,8.92,0.63,3,Chlorination,84.51,12,0,1,19.28,10573,75.45,78.35,90.69,851,18.64,42,13,Low
Pakistan,South,2006,Well,1.99,7.33,2.61,6.57,11.88,5.31,315,Boiling,63.32,86,9,7,71.48,1513,57.82,32.59,69.13,618,27.78,347,102,Medium
Indonesia,West,2014,River,2.92,6.71,5.25,6.85,18.99,4.88,914,Boiling,75.1,205,5,11,33.83,4637,68.79,63.24,78.7,2126,27.31,167,221,High
USA,North,2011,Well,0.88,7.18,0.15,8.42,8.14,3.05,14,Chlorination,96.32,21,2,0,9.49,56472,83.58,81.91,98.8,1116,14.89,34,23,Low
Indonesia,North,2000,Spring,0.96,6.86,1.4,8.19,17.05,4.05,34,Chlorination,77.48,31,0,3,25.64,4166,63.28,61.29,74.51,2678,25.68,92,34,Low
Indonesia,Central,2014,River,3.06,7.02,5.27,5.68,24.78,6.23,748,Filtration,84.55,147,7,15,29.58,5252,64.12,57.88,75.47,2895,27.67,115,169,High
China,Central,2003,Lake,1.64,6.38,1.81,8.17,16.23,3.4,87,Filtration,92.32,49,1,1,13.0,12266,77.55,64.4,86.33,875,9.07,177,51,Low
USA,East,2012,Tap,0.49,7.45,1.22,9.32,10.93,2.64,56,None,99.37,20,0,2,4.41,55896,89.93,86.42,93.09,719,16.53,45,22,Low
Indonesia,West,2022,River,2.92,7.08,3.61,7.15,24.79,6.3,506,Filtration,76.6,141,3,13,30.83,5424,62.22,57.66,77.86,2856,21.89,223,157,High
China,North,2024,Spring,0.97,6.84,0.15,8.36,14.0,2.7,24,Boiling,90.63,27,0,0,9.25,12762,73.06,72.18,84.03,1072,12.77,151,27,Low
China,Central,2004,River,2.33,7.8,2.67,7.33,17.99,5.83,505,Boiling,89.59,63,7,9,9.35,13192,75.29,67.09,90.07,843,13.58,112,79,Medium
USA,West,2001,Well,0.95,7.31,0.15,8.9,11.84,1.07,3,Chlorination,92.43,14,0,0,8.76,57080,92.04,84.03,99.5,882,11.74,39,14,Low
Nigeria,Central,2022,Pond,2.87,7.18,3.08,6.85,20.12,6.71,630,Filtration,63.59,176,9,19,70.06,2463,49.27,60.79,50.31,1325,24.07,176,204,High
Ethiopia,Central,2000,River,3.75,6.54,7.29,6.2,20.71,9.3,1101,None,42.86,312,12,22,69.22,1052,35.54,29.97,33.83,747,18.34,122,346,High
Mexico,North,2015,Lake,1.69,6.82,3.98,7.05,12.82,5.66,269,None,87.22,89,7,8,19.32,10251,77.45,80.31,78.7,564,19.82,56,104,Medium
Ethiopia,North,2022,River,3.25,7.14,5.83,6.16,21.84,8.9,855,None,50.98,251,13,31,64.39,1289,48.12,22.31,36.89,1098,16.49,116,295,High
Pakistan,Central,2005,Tap,0.95,7.75,0.22,7.7,13.99,1.89,93,None,70.11,56,0,6,62.91,1562,52.29,39.22,64.31,559,24.5,456,62,Medium
Mexico,South,2022,River,1.12,7.53,1.05,7.56,9.33,2.74,50,Chlorination,92.44,31,1,1,16.06,11478,73.81,84.16,86.43,891,19.22,69,33,Low
Pakistan,Central,2015,Pond,2.67,6.93,4.43,6.61,18.75,9.13,439,Filtration,71.92,135,7,13,68.2,2003,56.97,39.52,69.8,597,22.08,341,155,High
Indonesia,Central,2013,Well,2.13,7.29,1.75,7.81,20.51,2.08,181,Filtration,75.17,85,2,4,29.14,4672,71.1,57.86,67.8,2446,25.19,136,91,Medium
India,East,2002,River,2.39,7.26,4.37,6.86,19.86,7.38,529,Filtration,67.93,86,3,18,40.77,2493,57.8,45.83,68.76,1486,25.48,412,107,Medium
USA,East,2014,Lake,1.09,7.6,1.91,8.33,13.09,2.72,110,Filtration,99.7,34,0,2,9.38,60169,84.39,86.13,95.54,1184,10.72,43,36,Low
Mexico,East,2002,Spring,1.52,7.36,3.37,7.71,11.34,4.09,230,None,94.75,43,2,5,14.83,9951,69.16,80.14,90.66,621,21.89,71,50,Low
Mexico,South,2022,River,2.64,6.65,3.57,7.3,15.46,4.76,690,None,93.59,104,0,8,20.3,11061,69.9,88.25,95.57,734,20.26,44,112,Medium
Indonesia,South,2001,River,2.64,7.13,1.13,6.88,18.37,6.97,306,Chlorination,79.65,95,4,6,28.98,5147,67.46,59.26,75.0,2545,24.98,105,105,Medium
Nigeria,Central,2000,Tap,0.63,6.72,1.05,7.88,16.0,1.57,14,Chlorination,55.17,43,1,2,73.57,1883,47.67,51.1,49.08,1396,23.56,235,46,Low
China,East,2008,Lake,2.56,6.55,2.99,7.22,17.65,5.5,470,None,97.88,92,4,9,12.03,13236,70.5,64.89,86.17,947,15.21,97,105,Medium
Indonesia,South,2008,Pond,3.57,6.91,5.96,6.89,30.4,6.91,1071,Boiling,76.2,198,13,30,36.25,4166,56.7,53.6,65.56,3173,25.91,156,241,High
Bangladesh,North,2022,Spring,1.34,6.74,1.45,8.48,17.93,2.95,74,Filtration,75.38,47,1,6,31.99,3286,58.54,42.69,84.76,1756,25.36,999,54,Low
China,Central,2006,Well,0.85,7.19,0.59,8.61,11.34,0.38,39,Chlorination,88.48,27,1,4,17.25,11167,71.69,67.32,81.39,965,13.35,283,32,Low
USA,West,2002,River,2.47,6.28,3.92,7.24,19.26,4.33,734,None,98.33,88,6,13,7.38,47150,86.34,83.05,92.68,1163,11.62,36,107,Medium
China,Central,2017,Pond,2.15,7.01,3.87,8.51,16.63,1.03,418,Filtration,92.26,78,0,5,20.15,11044,79.92,67.08,83.17,1197,12.88,107,83,Medium
Nigeria,West,2010,Spring,1.88,6.88,1.83,6.92,12.97,4.23,189,Filtration,64.11,89,4,8,75.74,1986,34.97,51.7,51.31,1038,26.83,218,101,Medium
China,East,2006,Well,1.33,7.3,1.81,7.18,15.97,4.29,301,None,89.38,59,4,6,19.8,11155,83.04,64.31,82.83,649,14.97,207,69,Medium
USA,West,2008,Pond,2.39,6.98,3.36,6.88,18.73,3.88,465,Boiling,92.18,72,2,8,12.35,52601,91.01,78.45,97.52,628,11.55,39,82,Medium
Nigeria,East,2000,Lake,2.53,6.79,2.81,6.23,16.85,5.91,206,Boiling,64.64,163,7,18,79.84,2218,48.28,51.33,47.78,1028,32.61,252,188,High
Ethiopia,North,2013,Lake,2.51,7.17,2.08,7.25,17.93,6.56,290,Chlorination,51.35,115,7,11,65.74,1270,53.65,24.18,44.48,693,18.98,123,133,High
Mexico,West,2019,Spring,1.68,7.3,3.05,7.62,14.14,4.67,159,None,90.38,58,3,5,17.12,10589,77.6,82.5,93.33,811,23.46,62,66,Medium
Mexico,Central,2005,Well,0.67,7.13,0.25,8.87,6.87,4.03,64,Chlorination,87.53,22,1,0,19.23,10070,67.03,80.08,79.71,836,20.56,56,23,Low
Pakistan,East,2006,Lake,1.47,7.09,1.52,7.22,12.82,6.94,343,Boiling,72.34,98,3,11,66.62,1705,66.81,36.95,71.31,520,22.94,214,112,Medium
Ethiopia,Central,2009,Spring,1.05,7.07,0.76,8.48,10.37,3.82,9,Chlorination,50.94,38,2,2,57.56,1155,40.78,22.78,43.3,1020,19.92,113,42,Low
Ethiopia,South,2006,Lake,1.91,6.49,2.67,6.38,16.05,7.21,405,Chlorination,64.5,131,8,3,63.8,1137,40.86,23.43,48.24,870,20.67,164,142,High
China,East,2001,Lake,2.0,6.65,2.03,8.13,16.7,3.93,258,Boiling,88.46,55,1,11,18.86,11685,73.59,68.39,80.64,864,12.6,264,67,Medium
Mexico,West,2003,Pond,2.21,7.19,3.21,5.79,9.84,5.92,332,Filtration,95.67,62,2,5,20.09,10407,73.64,85.46,91.62,787,22.54,45,69,Medium
USA,East,2020,Pond,1.33,7.46,1.1,7.47,10.06,2.57,99,Filtration,99.66,45,1,2,5.2,50066,86.13,86.75,99.5,745,14.63,29,48,Low
Brazil,Central,2016,Lake,1.87,7.03,1.68,7.74,16.14,5.77,218,Boiling,93.02,83,1,3,22.37,8842,64.03,90.8,81.76,1631,23.78,27,87,Medium
Brazil,North,2000,Tap,0.82,7.88,0.15,8.64,9.38,1.03,3,Filtration,83.9,13,1,1,18.78,8111,71.3,88.37,86.87,1570,23.43,30,15,Low
Nigeria,East,2009,Pond,4.0,6.82,9.16,5.77,28.38,11.87,1373,None,53.9,311,30,58,85.99,1855,42.8,50.2,42.83,1156,24.29,278,399,High
Mexico,West,2018,Well,1.38,6.49,0.52,8.53,8.78,3.02,75,Filtration,99.7,25,0,1,14.4,12016,77.73,80.84,91.7,1053,20.84,52,26,Low
Mexico,South,2014,Spring,0.6,7.41,0.15,8.27,4.01,0.05,3,Boiling,87.49,7,0,1,15.95,9780,74.03,79.49,87.11,621,19.41,59,8,Low
Brazil,North,2009,Spring,2.1,7.01,2.9,7.1,18.66,6.45,288,None,95.41,81,2,6,19.87,9017,71.8,87.12,88.34,1938,24.66,32,89,Medium
Mexico,South,2018,Well,0.72,6.93,0.15,9.76,10.45,2.26,3,Chlorination,96.09,11,1,1,19.54,9769,74.94,79.31,88.72,714,17.88,89,13,Low
China,East,2011,Well,1.83,6.57,0.83,6.96,15.12,0.64,92,Boiling,88.25,52,0,2,10.38,13710,76.91,70.01,95.43,866,11.47,185,54,Low
Bangladesh,Central,2023,Well,2.23,6.96,1.37,7.77,21.24,3.27,135,Boiling,75.0,79,1,4,37.1,3248,60.02,39.52,66.15,2147,25.45,942,84,Medium
India,Central,2015,Well,1.3,7.53,0.23,7.34,18.48,2.23,43,Filtration,79.74,58,0,1,35.6,2745,59.33,41.61,76.43,1143,24.25,406,59,Low
Ethiopia,West,2008,River,3.93,6.82,8.32,6.69,18.65,9.91,1702,None,57.82,346,16,33,64.94,1123,36.0,22.71,44.93,700,17.66,172,395,High
Pakistan,Central,2014,Spring,1.75,7.03,2.06,8.43,14.41,3.5,32,Boiling,67.26,67,1,3,64.41,1693,53.12,42.78,64.14,422,26.22,203,71,Medium
Nigeria,North,2016,River,3.64,7.25,7.47,6.14,23.13,10.12,912,None,59.6,308,7,34,81.85,2069,53.24,54.53,48.79,948,28.87,257,349,High
Bangladesh,Central,2013,Lake,4.34,7.05,9.19,5.62,34.48,11.91,1770,None,74.29,223,17,36,41.93,2641,57.2,38.52,60.99,2205,27.88,1179,276,High
Brazil,West,2017,Lake,2.22,6.8,3.38,6.94,23.68,2.45,440,Filtration,86.5,91,3,9,22.28,8651,69.69,90.88,79.46,2573,25.1,32,103,Medium
Ethiopia,East,2001,Spring,1.64,7.19,1.01,8.04,9.77,5.99,107,Boiling,54.76,78,4,8,62.93,1155,42.97,15.0,47.5,741,17.9,129,90,Medium
Mexico,East,2003,Lake,3.04,7.3,3.56,7.51,15.55,9.86,399,None,86.58,104,2,11,19.15,11660,82.57,86.36,88.45,568,19.41,64,117,Medium
Pakistan,Central,2017,Well,3.53,7.17,5.47,5.46,18.89,9.38,596,None,67.7,219,9,19,74.07,1615,43.21,24.76,56.46,645,23.77,315,247,High
Mexico,South,2006,River,1.74,7.21,3.18,7.7,14.26,6.66,359,Chlorination,87.89,78,6,13,15.54,9324,75.22,76.47,75.62,811,17.87,101,97,Medium
USA,East,2012,Well,0.66,7.39,0.92,8.43,7.46,0.59,44,Filtration,91.38,12,0,1,8.7,49618,91.36,79.75,95.51,609,12.53,41,13,Low
USA,Central,2014,Lake,1.17,5.93,1.78,7.91,11.41,3.12,178,Boiling,99.09,47,0,2,5.95,54412,93.79,78.82,98.0,1087,11.38,35,49,Low
Pakistan,West,2024,Pond,3.96,7.13,9.22,3.97,26.85,10.24,2212,None,65.96,263,26,23,75.32,1540,51.85,38.1,69.99,433,26.57,346,312,High
Pakistan,Central,2022,River,2.07,7.29,2.1,7.22,14.48,2.64,198,Filtration,70.27,85,1,9,64.52,2038,57.6,47.9,69.69,680,26.4,266,95,Medium
Brazil,East,2021,Well,2.13,6.87,0.15,7.94,17.6,4.02,213,Boiling,95.12,45,3,3,21.79,9117,67.88,91.77,83.88,2656,27.85,37,51,Low
Pakistan,West,2000,Spring,2.28,6.69,3.42,6.38,18.64,6.76,526,None,77.17,103,6,9,70.66,1721,55.34,40.5,69.34,387,25.13,249,118,Medium
China,Central,2010,Well,1.12,7.12,1.25,8.11,15.21,0.92,145,Boiling,82.82,44,3,4,12.66,11331,73.59,63.96,88.69,806,14.34,193,51,Low
Mexico,North,2009,Pond,2.63,6.21,4.18,5.99,17.0,4.19,622,Boiling,95.3,95,4,9,20.51,10128,63.78,78.77,91.04,866,21.54,53,108,Medium
Bangladesh,West,2024,Lake,2.93,7.46,3.54,7.03,27.41,4.46,306,Filtration,77.87,143,5,3,33.27,2973,57.34,46.09,69.74,2358,28.36,1100,151,High
Indonesia,North,2004,River,2.8,6.82,4.35,7.0,23.57,5.74,507,Filtration,83.93,101,5,13,26.59,4730,59.06,68.4,70.09,2488,23.87,107,119,Medium
Pakistan,South,2015,Spring,0.44,7.65,0.48,8.52,10.25,1.09,3,Chlorination,73.06,15,1,0,67.23,2021,51.9,38.31,75.74,400,24.99,241,16,Low
Nigeria,West,2010,River,2.05,7.35,5.25,6.0,19.69,5.06,572,Chlorination,61.11,207,6,33,71.19,2230,35.68,59.59,42.75,1410,24.4,279,246,High
USA,North,2020,Spring,0.51,7.04,1.05,8.27,11.59,1.03,18,Chlorination,94.84,14,0,0,9.97,52773,82.93,74.62,99.5,952,17.53,49,14,Low
